X;Vigenere_r1;Vigenere_r5;Vigenere_r10;Affine;Uniform;Recursive
ізасенкодв;чхмґтаьбсо;ккнрьрпвґц;цйтфуоісхи;яхибюрцєін;нбшеаюбуяю;аььчфозчгь
ізатонськи;чхмдбаґйьц;гїїурзфзлї;дцнягчульх;охєщиьмбфд;цїґуюдпутл;тгхшрлвнпг
йсдзубковп;іпгєсяїман;одтгшеювщф;сзтнючйгць;жлбсхкйапд;ієоєрбкхфя;еґикфдщбью
ікирилюкго;фчуаушічмю;треїіцґишп;іхаруцчлнь;янлрлбзншп;меогпйбйбк;тмдсцкєсшм
ловапйікол;ийьшкжезйи;одсвлмюарі;уггжщтцднж;тйнбсеукйт;лфрксцфєжї;оюмкьіжпчй
есникнбкру;кщхотхзтшю;ацщауіеция;ддєшпйжхюу;ймфдьфуьої;очевужфйсй;ґїмшіенуєь
тіковафлос;ґцщанлеьаг;вфґїййґдїя;еддзммпзрс;ґцнчрлзгчо;жюоейбхпяй;трзщдбеєйр
ьвлмикитас;бепркокцґх;фецскжкадх;лвжтчшчтач;ьісґєдєбїо;хмоґнмябрх;юкїцдюгбґд
ьфяпогребе;юхарпґсєвє;ьхлґягстпр;юйилмшииьє;дкйчущюжсж;ддкчзялйжо;шшуожцбчшт
нниквідпов;ццпуіркшчі;єсибйбзпдй;пуївьжькгя;ььмфаоебяа;иьфґаддитє;мобпрецяхф
ідальнийсе;оїєтґфнршй;ретчнцівац;цнияшбєоцж;ніесгумпчї;агьцлйкзґр;пзшґягвдєї
кретарєсіш;хюнаіюояте;мхпєщтїбщф;ьгевефжфхб;бґьдчґксмж;ршмгііадик;мцзвійфґшя
абліовськи;юяйзмапшїж;ожзвйршфдд;мфгхцрюїфе;фбзвеігчях;цоюіжцинтґ;ожцбчштнеу
ймітдценко;лойфєшжпмр;їитппхашія;ґєяилмвюой;дязрсїпьгш;ґаюйфзгрью;йкчжвиїтбу
редакторто;узжгнхсухс;оогшчрьоню;жящоюшгехю;тфиеґнчтнч;юцїщвудфае;чхпіьждйою
мупійіколе;кснзізїмйґ;ютжсйцйєхе;ґвжьяеихдщ;ауфцзцнмхп;юьщхзїшзря;хнзцвшьхтк
сникупоряд;здювієежрц;мтжубкуожм;утрююуюігн;пежсзщбфьа;йзчзосзигя;втфйґнсдцю
куваннятак;ьеомаалдмь;нзчдфрокдс;чяинржчшґа;ютиушшйїую;щмзинфюлнф;кїцдюгбґдз
оментаріно;гбфвєодщвг;сбйяфгдояр;паґгстпиєу;єгмдлґіцдє;їюйьщнбійж;цвшьхткгнр
вишневсько;пчїбупдкюв;луоаїлбрьф;ієлатґсзгю;лпшенлжщсу;вщхцчдазяї;жйсбтуївкм
їтаніічорн;тяичссґшьч;цшфгухазещ;бцгбьшпфжп;раіиттужґи;умьтовєбра;аїїфгчьфсї
оїредакція;щуюнміхґти;ггнияодулц;пьсцхжйбищ;аїєфґгпшхм;лфегґвнвнщ;жршлихвчщу
художньоїл;їихдшґндяв;фюфхфмдґпю;шрьзгбїубц;ашмяєйщянж;цнеяєєніжк;уйгмпвсуіб
ітературиф;рюлщзюящпа;хццткгчєїд;жктгфютщвх;шнапенмпщл;цяякдфґюнл;уожцбчштне
мпередплат;єиьіьщиефй;уккипїкуув;єумаґдєакм;ьгямяпгнрз;грзмриаґтц;туївкмьйиу
невидавниц;жьцбщфцжбн;ґжизґрґхзх;аяокаосяку;тійзшкйтзб;ковнхесясґ;дєїпюнлякй
твонаукова;зтдґрибдтр;свлкнтклян;влячбчмтсч;яапфичепаи;тґншкнемак;уґчюхулдрх
думкадослі;бпїищбкніє;зшрсизухтс;мшщьелґяцш;фьйчцфяірл;нтьґтярдцч;нбопґучніш
дженнястат;оспььїбвйв;твцвгмлзож;нувґфвзґшм;сгґллфйщєщ;уджяхрїюяз;ячцрйаййце
тіматеріал;уїнбуєсїбм;тлфаоефпаі;ґшодґюгєае;хкшгхацкгї;фсйявївгвх;ртзюєдїнщй
иприміткад;щдещвьжапф;чіуґщшкнчо;юмсцаюкємм;гащгїясриу;фхїдшфпкюю;мтдчяцхоиш
остаттіюкм;нрсяссиьйл;евчжфихгто;ацолгхзліщ;цутіттайьш;шияяитднжг;фбхцоіщєги
ітакарпенк;исяйяподмй;илбдїпїєжц;тщкяавижєщ;ясищиуфґцщ;чсзгцгщхюя;нжхаххнзцв
окарийіван;шфиьрусїич;зґккґґбмчі;їсуфтлщєьз;єіхдлїкухж;щшоічфбнйш;нькіхгшюцф
тобілевичм;щхжотйзнбу;рищфюґчдєя;гресіеіиху;омфщюижїґл;єїлякмітбщ;цґьбюяьщцт
істячисюст;лхцгюкхвхц;йжшерїжґшл;ууйбїсогцл;гцхлрґцмцх;мхюзщвшнжд;оюмкьіжпчй
араннообро;пепггґґреґ;юпєявмнжвг;ухаиасщіцм;нчнззццбчц;вфвсзмжіиз;збиісярпех
бленустуді;зукхющьюйп;йпефоацуїе;босчеущиеб;мегкдьбдяу;окщїещшзшж;хїґмргуцмз
юнашоговіе;чйщфкякюєв;ктншіпупія;іируйбоойю;рпежїоїхшь;іулсгочфпш;шіенуєьґбд
льмиїповіа;бмвщюдґсьп;моґщареуьс;їччнфбжпну;хшїфюепщіт;тяхгпчмгкз;ееїоьлїчеа
жаногоспів;бциіщікїґш;йіддґуяєюг;іхшітрмщеж;омїґхґйщча;осхоєкгєсє;ржшгюбяаяя
робітникам;цфєншумрет;мгяввйшїфщ;йоґжщрхніф;лжюатсйчіб;міїубяжіжг;єдїнщйзтюр
усимозаяви;еґцябхмлоц;ьжзпнмрюдз;івроооюлін;ьщєиіувогє;сухіущбхзє;аффлесчлзф
тищозгоджу;бтжьсльнрв;щїгооирїжя;бщншуґячуш;згщєпмєнвц;ммоґєхияюи;кщиемтдчяц
ючисянабаг;цтдмчїшщшю;дбнхпфєжґу;гбсючпчдюн;зтгхкдпфпб;ягкдбуьраю;жажжмфєюдг
атойогодет;сиебефецчи;сдсшмфбжср;пйктщзєєее;ешотоьовсш;вгїсюшюзоб;кьіжпчйєрч
альнихуваг;пбмгщізспт;лхвбаєаєнц;ццнхнйбзбй;иєґаждїгим;южцкяксвии;мїшєвзірюо
мимаємоінш;юхюлтюацяи;рссшфрщмїї;жйлпблхйєп;мюмутміїьп;їлфчгшойєх;фріюзємуещ
ийпоглядна;агзжцдтшєу;флецщщбххц;южащрдкюґе;вруелсймть;йслрвзуїчг;иьєґілцжбз
самуоснову;лчинїліїщн;іеєеґіузоз;брярсйфявф;тмьяєтвєця;цкпххґфвчд;фшпкаккшзґ
ізначенняп;бяєунщєєтз;єощвзвцщбб;лсюсзджущш;нйщшмєщщца;шжґжйшигтб;хсйбклщієо
исанькарпе;лцдтвпдхфі;йяьнпнінпш;імзбєдухґг;фвнпдєнючж;пєфяочєтвс;рйаййцеядґ
нкакарогоо;ьчйчйаюмюю;уґімґцжкрт;тіцкдєґїцт;пмфмфтзчзз;жьддчхпарн;жцбчштнеущ
сновнапоми;иеєфетжєдя;оцмдвьшмпш;юґжчпюхопн;ткмнкйомїа;влхкаґрцза;фгчьфсїаїї
лкадкмітая;онгжнпкхгв;щсйлдьовиу;пегнцшєтрю;акїжкпубїц;згогенпрйл;єщгявбгґєі
кімногихна;чфщьюмудьй;кьажхгщзжє;злюргхпиаа;їьтчяухбчж;ьнчнпщйєцм;їьзелсгфчо
шихкритикі;есгхюсасхт;кфоїящггїу;чсїпзщумєг;увкхивдвхм;цчєїимлщюї;фбхцоіщєги
влежитьвті;щзавґмфщмд;хиьютїхцїу;фґффбйчжґу;бжцточібчм;юцчнаіґтгв;пкаккшзґйн
мщовонипід;сбуєутлфми;фкїкрхшйує;гхффомфкжй;уйфмфєржґб;ярггїпядсл;сщнйьиєнфж
суваютьбел;кмшцфлучяж;шзйпющмїхл;ячукістфею;чріохєїюьл;ііслллшбмо;оціґлпбрсж
етристамвд;ґрожпрюкаг;еґшнлтлфзя;щчпщуефкдх;фщмнещоуюб;йрєіфоекгя;яюьшхрїяіи
анімразіка;ичсцьипсфи;свфросчфою;фжчфчаїшпб;тзавьтпаст;бєбжююкнсг;мргуцмзхбц
рпенковіка;юьншхщйтхі;жндеиеаигщ;тактуяожуц;кґенрчяурї;яяжишфквбн;зфаффлесчл
ромуякісьс;йізмхєґкук;якчнґцєяфц;пгунчстлощ;чтнофїсйпй;гфїлмдпаеу;мдсцкєсшмі
оціальноек;йсешихїйбз;абввйїхзжї;ьтциьдошяр;шїзюбґьшпг;яррсїьмдчб;буфкдпфибі
ономічніта;єеєдамеаіт;ґесіійекна;бмсдгшябйй;лклйжфкжпь;щхпьйуугію;жтьпмвордх
публіцисти;тцґокщйфхй;іжькіошнси;нчвзртадіч;фіаґнцїбеї;фіфїьйфуїї;мжфяутїбйк
чніціліхот;шоїчїмїцпу;луєйагнсді;ьштебвтзщш;фпмємомугд;йльїєячєгж;дщбьюшцскв
івмовлявзм;закмайьаєк;уйиюрчищтб;хйомщґьхєх;вятьяорячт;сєсуїьслцї;фгчьфсїаїї
алюватиста;дргєдчлцчд;пвдчпжьшкп;бєфбсдтчйн;еаюкешйфше;ґжмвдицїюа;сзьегзїсас
нсільськог;йнєіцнцикя;еиомьипспг;аґащсідифз;кздаезецсл;китхцухяцї;ичґюваввґе
ожиттяприч;иавккфіївп;миїькьстоп;вйжіофпшлй;ягтґґахотв;нядозбхснг;нцигймщїжр
иниупадкуд;сшсбьімхбм;хсудфлзчди;асїмщоефвщ;иридґфнідн;хяедщґфвйч;всуібїйхдь
обробутусі;хжчхжьщьшо;ьрдапвжжгщ;кждїяюбєюь;кйокйфтфра;ядееєвзакв;ьаььчфозчг
мейногожит;ївзйкякґео;єпбшічющсл;гювєуррїйт;ьістквкшїл;хуиврянвщм;мгптжьдвєз
тяітінсефу;хвкхкрфзчц;щогїіфєюку;гххосмопід;смисиєдщрґ;ілмттюфвгн;іґлпбрсжщґ
ндаменталь;ржгпзрхгоа;шииощшчинр;біюфредщсй;жрхзпжгхиш;бнепцохїґц;мобпрецяхф
ненепорозу;тітіфухукш;авраубмсгч;юїхусмцугз;гкгктщлщцч;їлґтййопих;аззочїеофз
міннясамої;ашббмднавщ;аяфкадсулй;ґєжаїшшляо;вїаагхбвюи;лґбцбяшхсх;жмфєюдгжіп
сутіартист;лнмдчкмґлм;цодбохнціє;хзєеадахбт;лупжьіпґлп;аерйаждлрз;иошйжсщнйь
ичноїтворч;впзиґкчиїп;флюхдгуячр;єхиуввігся;шдгувґауьд;гпчюфууїяї;шщфріюзєму
остіартист;лопжьнпєоп;тщпґафьєкт;аоуймпхлбг;офцґлтцвфц;врцозяеєдл;цеядґзйтвф
ніколинекл;тмпурлтіпр;ясцбюхчоью;чвююзґлмія;щвяшюгщєяю;мґщммсомсг;осечаччслг
адесобітак;сцчзетяисв;ззажєилмрг;тяцхатщиир;єрмтбгщоєн;їжоксткпчє;гєинчідмсґ
оїметибоко;пйнєуівплп;чжтокпьфци;усеєікуквє;елрфіщцебе;жххїхдебюв;дйоюмкьіжп
либитакбул;хріряифіах;княдцясяоп;чояопьфїюч;євцвкхецлє;нецигігурб;іцґьбюяьщц
осправдіві;сфтугджкдк;мйжліаьаьт;рґжєгуечтч;иєзжшцунцн;ейрзетедхр;їцдюгбґдзк
ннаписавби;ддсєюзсутю;уюібвчкймв;окдятдвєдд;ттвгенвмзе;їеґраваішр;гєинчідмсґ
статистичн;щьжьощьовх;чнлшучнхаь;ґємрцрїмґм;тлґлатлайн;мхуофхчбчз;ьцуметшнїщ
учиекономі;тцздйнмнли;пююівксеся;фьґкфомшьл;тсномлєлях;пщгбйдєкіп;їкцєаєєксв
чнучиістор;чнучиістор;ьбхйпкдфґщ;нщелуфщбїг;яоаяшгнхцз;жмльжкркїк;юпнгруиаии
ичнумоногр;тещвшьщьля;вьцдгирчоє;озїтщкнщфю;обідїиіихж;гежпштужщд;змхжажжмфє
афіюіметаб;флвтвєьйфх;жєїрнфтутє;йфмціьхчум;елнпнбашем;юаіирщжпон;рпехюусіяи
улабосягне;ткяанрювмд;щмлґбчаорт;ьшисйенсйа;йнжфякхумд;вльпзфйєдн;цигймщїжрш
наартистко;щїїябтабць;ехяжшяйсвф;ялпкашизчи;чііфтбутьц;хяичсичиїщ;їеофзаззоч
ликладесоб;їєіїьвголю;шпмнголурґ;гшчлхчфґтт;ьґдьоіглеи;їюфщкуяжст;іншїєпцїдн
іякізавдан;уіцусїкнїщ;вфяхщфчукґ;срщехмаіжф;юбтюцрхмрй;шшкшошухщю;жчвщючхпіь
нятовониза;цжючічцпоз;уївхтфьумр;ґчосрйїсчл;крчижикзйм;едюіїлйбїг;їщжґїмшіен
всігдилежа;їюсйлрхмои;їрєьцркввс;іаеїалічюж;єниіпецуюя;хкзіжьйово;шіенуєьґбд
тьуобсягуп;нхойщмчюок;бнпщчапябї;язсикцмамп;іхсґябїпск;уьффймґїад;цигймщїжрш
сихічногоі;атґуещьльу;цюєйптеорг;нмвхцфойяо;їущпсшфофп;омещзрщзлв;їпюнлякйчє
морального;фцшжудхціц;рддзибґгїй;чеоїнпптбу;юдїжікодвд;сфннашятгз;звійфґшячц
життядляви;авккфьєфчв;єдзскґипбх;поцлтлґтоф;цьссжрєжкь;евічшшсхєл;вщючхпіьжд
повненняти;банясяякґх;ґржжсвпдйх;фчєхсгбійд;упслґллзвр;ггцрсикоєг;сіяизпшкзу
хзавданьві;пгчщячіфщд;чцуфзвбрфл;юзкждцбсґо;жгчєичтфєм;ашпгїлпісй;сечаччслго
нкористуєт;мйнпзрстес;піщьуупбнв;тнюптдроуш;їчщьхкюлєю;птозпгєєаі;ґеимцзвійф
ьсявідомим;заікуньштш;рщйрошцьшу;охєрнхгюеп;гендвцоґшґ;ньппкиґявг;шіенуєьґбд
ийомуфакта;сфщчбвіхаі;рґгєсбфяйю;вгфйкчюабі;члшгжґбіїб;жєфєьецзшт;ийугцщтоєх
мизекономі;щутпчюьющф;йцеерлалмн;зюьіншяхзп;хшужлвьвха;юуьїпіншлв;фьсоефьсое
чногочисоц;иабпбицґбз;жхашгжогиі;ґіхшйнщцти;тфґєґтяиґз;лягююїьчно;єґілцжбзип
іальногожи;єщіцйкякґе;аскубєфнбч;вчацчптїєс;сипшобхбед;щеєимзхефд;гийугцщтоє
ттятеперіш;оошовлвмєф;цьмояукґєс;даектїжпуш;ііїімкмфад;йспцпджшїс;юродушойюі
ньогочимин;ґндудкьгьґ;кіїєжффикє;ннмкрткшвх;еяжіжцхґхе;ужїіяфйесх;нвпсєшвьящ
улогосейог;лєишийюдиш;фєєнртювяд;лйіґсяєьбч;ґднунщвьну;пхфщьфшшею;ґучнішебєж
оматеріалс;щчіанютіця;жйтйсижтег;ьоабчюьтец;щаясрхияву;лшниеіюшзж;юґвежктгхш
ецеглитади;фіфсашєоуш;дтдвязояґч;кииркґьяяй;гцгслбшерб;чюмьувшиєр;єчбшщфріюз
лізякихвін;вющпбьїтюґ;лжюсиитфай;здрпюєірєщ;чяокрхювяж;иуїчяьцггґ;оьлїчеаееї
складаєсво;їдефщфюїцз;ююавкифеґч;ґгхщкацунй;тсєплпртфю;узємюфиґмф;оґтцлжуюсп
юбудовупев;ийвньквюок;жохґюїєсдл;чущьхьбґжт;шґлчіолхжо;мфюаакґуяї;угцщтоєхяф
нарічсейма;мяпицрдїля;ґсщєзжчтїл;иехсґґрщхц;тзбюочанщз;ічлцзбжоун;кяйїхґщащщ
теріалтако;сдпияксяйн;ішнґсґіьєе;мяхїфєпгчо;мождчсмчна;хїсхфхайет;мхжажжмфєю
жпідлягаєк;жпідлягаєк;йціжуґиаит;нскзвцррщу;ґлиющпдяфм;кффічшчьюр;уаууйгмпвс
ритиціалер;ятбтдуїчоя;нвлетжхжвм;лкьйхфібнс;зхпхеьжндз;еяжчмяцясй;щщхсйбклщі
озібравших;чорищзіґпб;уцдбрдптих;юмщдїзґьна;соцпщлуштм;рмубшчґалє;мялкщиемтд
очбийякдет;ипцвдфеьюк;геххрнцщсщ;шнжєїлнщєґ;флпиєянцгю;мфмсиржщйи;жпчйєрчкжт
альносамма;льїяаглююл;ьучсножйря;годйлючгпз;шюбчхпшщщш;дющвешемфц;звійфґшячц
теріалітех;грбхкщхгре;ьїрпуунткл;мдавоєфйщй;ґгжцлоцґгю;ухчявспетм;укґотєщгяв
нікуйогоук;оїлфкпґпфл;мзихжнбкхз;сітґудщтіу;слочнтєтчо;адррхґеіеь;тшнїщжґїмш
ладуваннян;бпфзспггог;грхцвсґґвн;нтдфілміес;щяюбхяттпт;чехчоемкнф;деіншїєпцї
етребароби;пвапкйаюку;иічкжґзхзн;гвьдляврфх;чйучпфуапє;мдхйвбнґіг;єїпюнлякйч
тисобіілюз;ечдвошшялц;щййуіокєгп;бошуюґьтчл;ьоєґзжжбеш;кжзїснєнта;нгруиаиирь
іїбуцімтов;жзюружйпля;влаервпсбщ;змґршцєайо;хуїбшхлгіи;щхцєкґгяіф;їнщйзтюрод
жескритико;ижумтїфїмр;яшхщябікщь;яхяяжяшдеж;худюґчечюв;пріилдядїж;щжґїмшіену
ваноабохоч;трґдрсдїдк;шїгюгчьіюь;булдмйжцек;жфрїфмїтїе;мйриемйхвн;уфкдпфибії
битількипр;елчмрвплфх;гссзіяхзнм;ичеїіжйшзш;птґлркчтхо;єлздйлкавї;гікхеюґвеж
едставлено;онабїкчощь;зетткдмєня;зяребфтояе;яецпжчвяск;едсдойщенж;іїувхчпйяї
самубудову;кцзмчмюішм;ййаіщловуо;щнфиьцлцщм;щнїмчмбяґм;кгаквікхчц;пяонвпсєшв
сеїбудовис;аофйвнькта;осншбваєґя;унхоулфкрй;іудмчлрфті;длвїьдохгз;ґеимцзвійф
ьогообразу;дціццзшжню;шїєпмякґис;ицнзчтфеая;їаоаадйлфм;ішьцрйбсру;ґілцжбзипщ
моральнихв;ортвняпїчґ;юьдґдїщшщх;ряцжгофдом;гтжмиґщїев;тгшьаррлиб;єнфжяєейпя
ідносиніпе;еаїймдїекб;шщшглчжтґа;гхвхнаецущ;тєґукгґтзц;зпвопнпяюш;йжсщнйьиєн
реломівусу;мвікїєюпнп;оіьягзєдви;шжддяарріи;ртмхьцящбщ;ьхмзщієїжп;члзфаффлес
часнійукра;счлідєнжкч;фпвцґизшщц;ооьрефьзїм;ядцачєеьгд;еїочужукфи;длрвтфйґнс
їнісеїгале;гжвїьгчфеь;жбйаіжрвчі;фукроєркпс;шьсхпшюимп;чмгарнлкмє;хйдоужюеґи
реїпсихічн;щлсшьпбргц;гпжєіцдєлє;мидзьимльй;клфєсимньц;рюугшжаьфо;аїїфгчьфсї
ихтипівзма;тґбтюуксшї;илрияіхємй;іфґяййижюи;миюмпрнїєз;хсвшїззфищ;їґмргуцмзх
льованихма;оасдгрйшпг;бацтбгйагб;жмоґохетмж;лїстопдвно;зічхеєукщє;чяцхоишдад
йстернимпе;уюямьчрцщм;реиєнфшґрг;шсгжсдхрбщ;влщгбхцірг;зтупїєргжя;зтюродушой
ромкарпенк;дгбяодґфвя;дюофпдяжча;юалєхжаржл;їщйьнїґясь;щзщекскїга;гийугцщтоє
акарогоїхз;зузщчїчсбо;щшбвіяяйєв;пхьгкхґщдж;фяфцесеїил;шфоьчфьікж;сжщґаґґжїр
наченнявсу;ялзсяякнгд;єбжлхєамью;смрушсьбхе;щґбєщщрдюя;весюапявол;зуятсиюжек
часнімжитт;злгяцюухґґ;яїюросррхщ;яолщклбовг;ґиючсцоряя;зхкофугбяі;щсндтчмицг
іівкультур;їїглфмюуфс;едубґифииб;елйуліуухк;ґґхпюфацюм;їчуїіотере;війфґшячцр
нійісторії;иґеґклійґд;ксгхспшихї;шдмвоьєойв;ідєдлмїкде;дуїфбгкьид;ничґюваввґ
українимай;еьгмшацямщ;ьшіайффєак;фсрбїджагу;нжкмшілсмо;пцоютлєюки;єрчкжтьпмв
женедобачи;яьжьщзхфоб;фнжьгбїфож;зщмядпмумх;їненгрйякє;бйдбшєяюїи;щнйьиєнфжя
ватимменше;бясзллдмчд;ксчцвшчтіх;кипдттнсза;ґуїчггяися;сдфожєщнуц;аххнзцвшьх
простудіюв;чшцщьюйпеи;зейузйфеат;фпгьвбзпєг;ираьєнвщюд;бкуцдиьїцр;цґьбюяьщцт
авдкмітідл;ґезорлцлзп;уьмїґбнтгг;доьжйшьбаь;щмйґфєоєйк;хядтернпмь;юкїцдюгбґд
ятогойогон;юснвнїнвнм;йдзручбчвт;ггагґкоьїу;ижчфчцчфчє;ххбхраєшпш;хсйбклщієо
арисмивваж;рєьжгьттрш;сєздїютбнґ;тйєввеіешб;торюярллтч;имцїуіїенщ;їцдюгбґдзк
аємоякприг;яелнюйопзв;жптгчтюцшю;ґцчеаекмпи;тжупфчнлвм;мгґмтірчгг;гєинчідмсґ
отуваннядо;їмнщчііцяї;чзушчцґяюї;ршхюжіечуґ;ляшйсппхбл;чмехпркучд;їшєвзірюом
основнішої;бґабоачібш;зюочбжсщчі;цхлвгщиьзс;сьщснщієсг;іфчсцяїчсй;рйаййцеядґ
студіїнадт;фхцжклргжх;жкрїуязьїб;ьючгґшнуфю;тївнуйщбнї;пнпчцрмєпо;тдчяцхоишд
ворамикарп;єухдслпдхф;юухшаепдлг;нсєайнбеяр;рхдєїеяєдл;шшшжзжшґфґ;тжьдвєзмхж
енкакарого;таьмьмгбпб;щмцпіупьтл;цблюечжажґ;аівлвлргфг;ьирщошщйаи;иїтбуфкдпф
зрештоюкіа;бїюркиуегх;чхмгиггфпс;вмоьсзфйюл;бумчфтїрвй;ссєвючжлон;йтвфцничґю
рпенкокари;подмйнйяпз;хюиеяуцґзш;нльмхвєошр;армчсєсґав;савкщмгкду;ешбщьцумет
йтеперусам;щдтвтгеґмя;щйчюьгкзїє;бюцбтжщгнї;кдижиолшмі;амдгзиябеж;цпїюижоціґ
імрозцвіті;чягбхзочдч;гоїмтоґгрф;іитстгґждв;лвоиєзїлцл;иабьлсєхцц;жсщнйьиєнф
творчоїдія;їхжинжвшбт;пфпфтлбелч;іещчвхтсхт;ьмктнкушпґ;умцпмііейй;ґлпбрсжщґа
льностікож;тґфхшщосхл;сґчршшофрл;злйебкиєїз;юйібґчджбв;лбймбєнїрї;ьхткгнрґфш
нийрікприн;йезмєилмей;рґшїднйвві;гфяхжьиєфй;мсашхґфшсм;ґїпклтгсхе;їглоаоогсф
оситьновіп;хшнщґфхзоц;снзьфркбпй;зиидеьшбит;оаідїйоґму;енжчлґлєйє;цдюгбґдзку
лодийогопе;езщбґзчзиь;дфшцужзжвм;їшйяияпцщґ;хючцяюбюіє;бзямфесужж;іїувхчпйяї
раірозширю;зтазєюнязр;ґкнтацзмтй;яєшїціицшс;ґешґфлудґц;ятцвгегкіу;цкєсшмічдя
єрамкипотр;иугпнйтсху;кялхенюаюї;чєпяилвтне;ґежйаємцпе;хеффягбаез;йзтюродушо
ібнідляйог;січслхзушй;шґвіеявюоґ;лпрмзлчедю;ьюгьфуоиці;язпиїртшжц;ьхткгнрґфш
охарактери;охарактери;дьишібчмшс;оґмреґаіщб;ячцєцмлнєа;бофляфупєд;іґлпбрсжщґ
стикипобаж;рсзйзонаяє;сєбгспгхтп;йїшхтіїєяї;яйиаиґумвл;швденєжрґф;еьгаггезлф
аємойомуйн;ксьячяьґчю;чзлбеїотщи;жзжучпінбд;йьапспансц;гйбньоиеню;їкцєаєєксв
ашійлітера;смябгяичжс;щчьигєсхнс;блястягщхї;иусщґсябфи;сщгзйиовяє;ігкнюлйшжг
туріщобтір;рсозчмярзо;пщджулєєжк;юубїжсньнд;юофзенєюзф;ювилхшжіое;фїглоаоогс
амкищедовг;юкїжчґгмаб;яуцафдїьхю;икоеуцзлґс;єсіфрґяюнт;авшгтйюмее;гджйсбтуїв
оідовготре;чркчіїчющл;єьсґтхґдец;юимсшзмїса;сптсєїсжюч;хґлялщґсга;ькіхгшюцфн
басулорозш;цхйлєиїибр;циодчиьлфє;ьїрсвсхдєї;ґчецїзщзои;тєґфефягґї;кйчєбжзнци
ирюватидод;щенспжщфґф;ияхветтяоі;бпґжмкяьяо;ацляєоарбр;всїзшвхящн;фщрмгптжьд
атокдостат;пжґафґєжпж;хднжииґсчч;фїщнзчйоді;зюодногюзю;хекчранвещ;аоогсфїгло
тімкомарає;фйомровтвз;щмнязудсою;хюатхицпдґ;лґзєізцйца;акслеаішде;гхшрлвнпгт
